date,geo,component,price_index,status,year,month
1981-02-01,"Calgary, Alberta",Total (house and land),25.5,,1981,2
1981-02-01,"Calgary, Alberta",House only,28.1,,1981,2
1981-02-01,"Calgary, Alberta",Land only,19.6,E,1981,2
1981-02-01,"Edmonton, Alberta",Total (house and land),36.1,,1981,2
1981-02-01,"Edmonton, Alberta",House only,36.8,,1981,2
1981-02-01,"Edmonton, Alberta",Land only,32.9,E,1981,2
1981-02-01,"Vancouver, British Columbia",Total (house and land),92.2,,1981,2
1981-02-01,"Vancouver, British Columbia",House only,97.5,,1981,2
1981-02-01,"Vancouver, British Columbia",Land only,85.3,E,1981,2
1981-02-01,"Victoria, British Columbia",Total (house and land),130.1,,1981,2
1981-02-01,"Victoria, British Columbia",House only,209.1,,1981,2
1981-02-01,"Victoria, British Columbia",Land only,50.9,E,1981,2
1981-03-01,Canada,Total (house and land),39.3,,1981,3
1981-03-01,Canada,House only,37.3,,1981,3
1981-03-01,Canada,Land only,41.1,E,1981,3
1981-03-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.2,,1981,3
1981-03-01,"St. John's, Newfoundland and Labrador",House only,37.5,,1981,3
1981-03-01,"St. John's, Newfoundland and Labrador",Land only,31.8,E,1981,3
1981-03-01,"Halifax, Nova Scotia",Land only,32.5,E,1981,3
1981-03-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),56.2,,1981,3
1981-03-01,"Saint John, Fredericton, and Moncton, New Brunswick",House only,62.1,,1981,3
1981-03-01,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,38.0,E,1981,3
1981-03-01,"Québec, Quebec",Total (house and land),30.6,,1981,3
1981-03-01,"Québec, Quebec",House only,35.4,,1981,3
1981-03-01,"Québec, Quebec",Land only,20.6,E,1981,3
1981-03-01,"Montréal, Quebec",Total (house and land),29.0,,1981,3
1981-03-01,"Montréal, Quebec",House only,30.5,,1981,3
1981-03-01,"Montréal, Quebec",Land only,21.0,E,1981,3
1981-03-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),33.6,,1981,3
1981-03-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,31.9,,1981,3
1981-03-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,40.6,E,1981,3
1981-03-01,"Toronto, Ontario",Total (house and land),29.8,,1981,3
1981-03-01,"Toronto, Ontario",House only,24.8,,1981,3
1981-03-01,"Toronto, Ontario",Land only,39.5,E,1981,3
1981-03-01,"Hamilton, Ontario",Total (house and land),30.7,,1981,3
1981-03-01,"Hamilton, Ontario",House only,25.3,,1981,3
1981-03-01,"Hamilton, Ontario",Land only,46.0,E,1981,3
1981-03-01,"St. Catharines-Niagara, Ontario",Total (house and land),30.8,,1981,3
1981-03-01,"St. Catharines-Niagara, Ontario",House only,28.6,,1981,3
1981-03-01,"St. Catharines-Niagara, Ontario",Land only,35.6,E,1981,3
1981-03-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),34.2,,1981,3
1981-03-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,30.7,,1981,3
1981-03-01,"Kitchener-Cambridge-Waterloo, Ontario",Land only,43.5,E,1981,3
1981-03-01,"London, Ontario",Total (house and land),32.8,,1981,3
1981-03-01,"London, Ontario",House only,28.2,,1981,3
1981-03-01,"London, Ontario",Land only,51.4,E,1981,3
1981-03-01,"Windsor, Ontario",Total (house and land),60.7,,1981,3
1981-03-01,"Windsor, Ontario",House only,64.1,,1981,3
1981-03-01,"Windsor, Ontario",Land only,47.5,E,1981,3
1981-03-01,"Greater Sudbury, Ontario",Total (house and land),55.4,,1981,3
1981-03-01,"Greater Sudbury, Ontario",House only,55.6,,1981,3
1981-03-01,"Greater Sudbury, Ontario",Land only,52.1,E,1981,3
1981-03-01,"Winnipeg, Manitoba",Total (house and land),27.3,,1981,3
1981-03-01,"Winnipeg, Manitoba",House only,30.3,,1981,3
1981-03-01,"Winnipeg, Manitoba",Land only,18.7,E,1981,3
1981-03-01,"Regina, Saskatchewan",Total (house and land),20.6,,1981,3
1981-03-01,"Regina, Saskatchewan",House only,21.5,,1981,3
1981-03-01,"Regina, Saskatchewan",Land only,17.5,E,1981,3
1981-03-01,"Saskatoon, Saskatchewan",Total (house and land),33.4,,1981,3
1981-03-01,"Saskatoon, Saskatchewan",House only,36.4,,1981,3
1981-03-01,"Saskatoon, Saskatchewan",Land only,26.0,E,1981,3
1981-03-01,"Calgary, Alberta",Total (house and land),25.8,,1981,3
1981-03-01,"Calgary, Alberta",House only,28.6,,1981,3
1981-03-01,"Calgary, Alberta",Land only,19.6,E,1981,3
1981-03-01,"Edmonton, Alberta",Total (house and land),36.1,,1981,3
1981-03-01,"Edmonton, Alberta",House only,36.8,,1981,3
1981-03-01,"Edmonton, Alberta",Land only,32.9,E,1981,3
1981-03-01,"Vancouver, British Columbia",Total (house and land),92.2,,1981,3
1981-03-01,"Vancouver, British Columbia",House only,97.5,,1981,3
1981-03-01,"Vancouver, British Columbia",Land only,85.3,E,1981,3
1981-03-01,"Victoria, British Columbia",Total (house and land),130.8,,1981,3
1981-03-01,"Victoria, British Columbia",House only,210.6,,1981,3
1981-03-01,"Victoria, British Columbia",Land only,50.9,E,1981,3
1981-04-01,Canada,Total (house and land),39.9,,1981,4
1981-04-01,Canada,House only,38.1,,1981,4
1981-04-01,Canada,Land only,41.2,E,1981,4
1981-04-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.2,,1981,4
